,EX_INDIRUBIN_LPAREN_e_RPAREN_
co2_p,1.331364668186872
coa_c,5.199297657339351
cobalt2_c,0.5248674617742498
cobalt2_e,1.3995884080642186e-05
cobalt2_p,2.987254427435336e-05
colipa_c,0.0
colipa_e,0.0
colipa_p,0.0
colipap_e,0.0
colipap_p,0.0
cpe160_c,0.0
cpe180_c,0.0
cpg160_c,0.0
cpg180_c,0.0
cpgn_DASH_un_c,0.0
cpgn_DASH_un_e,0.0
cpgn_DASH_un_p,0.0
cpgn_c,0.0
cpgn_e,0.0
cpgn_p,0.0
cph4_c,0.0
cpmp_c,0.00012806698844254077
cpppg3_c,0.00011704482960117451
crnDcoa_c,0.0
crn_DASH_D_c,0.0
crn_DASH_D_e,0.0
crn_DASH_D_p,0.0
crn_c,0.0
crn_e,0.0
crn_p,0.0
crncoa_c,0.0
csn_c,0.0
csn_e,0.0
csn_p,0.0
ctbt_c,0.0
ctbt_p,0.0
ctbtcoa_c,0.0
ctp_c,0.7647440180664823
cu2_c,0.5250384750413526
cu2_e,0.0003721290770727926
cu2_p,0.0007899594753312212
cu_c,0.0
cu_e,0.0
cu_p,0.0
cyan_c,0.0
cyan_e,0.0
cyan_p,0.0
cynt_c,0.0
cynt_e,0.0
cynt_p,0.0
cys_DASH_D_c,0.0
cys_DASH_D_e,0.0
cys_DASH_D_p,0.0
cys_DASH_L_c,0.6233272855550082
cys_DASH_L_e,0.0
cys_DASH_L_p,0.0
cyst_DASH_L_c,0.08078262316813832
cystrna_c,0.0
cytd_c,0.0
cytd_e,0.0
cytd_p,0.0
dad_DASH_2_c,0.0
dad_DASH_2_e,0.0
dad_DASH_2_p,0.0
dad_DASH_5_c,0.00011826584936653039
dadp_c,0.0
damp_c,0.0
damp_e,0.0
damp_p,0.0
dann_c,2.7553583801399367e-06
datp_c,0.5248647067317244
db4p_c,0.0004681793184049073
dc2coa_c,0.3088828606684155
dcaACP_c,0.0
dca_c,0.0
dca_e,0.0
dca_p,0.0
dcacoa_c,0.18678885183168614
dcamp_c,0.0
dcdp_c,0.0
dcmp_c,0.0
dcmp_e,0.0
dcmp_p,0.0
dctp_c,0.5266061913501621
dcyt_c,0.0
dcyt_e,0.0
dcyt_p,0.0
dd2coa_c,0.1867888518316861
ddcaACP_c,0.04084707093669041
ddca_c,0.04084707093668976
ddca_e,0.0
ddca_p,0.0
ddcacoa_c,0.22763592276837585
ddcap_c,0.0
dgdp_c,0.0
dgmp_c,0.0
dgmp_e,0.0
dgmp_p,0.0
dgslnt_c,0.0
dgsn_c,0.0
dgsn_e,0.0
dgsn_p,0.0
dgtp_c,0.5248647067317244
dha_c,0.6651529008321024
dha_e,0.0
dha_p,0.0
dhap_c,2.182745397014501
dhcinnm_c,0.0
dhf_c,0.0
dhgly_c,0.00011704482960117457
dhmpt_c,0.0
dhmptp_c,0.0
dhna_c,0.0
dhnpt_c,0.0
dhor_DASH_S_c,0.17362262066332082
dhpmp_c,0.00035113448880357044
dhpppn_c,0.0
dhpt_c,0.00035113448880357044
dhptd_c,0.00023531067896771177
dhptdn_c,0.0
didp_c,0.0
dimp_c,0.0
dimp_e,0.0
dimp_p,0.0
din_c,0.0
din_e,0.0
din_p,0.0
ditp_c,0.0
dmbzid_c,0.0
dmlz_c,0.00023408965920245362
dmpp_c,0.00014591238847142242
dms_c,0.0
dms_e,0.0
dms_p,0.0
dmso_c,0.0
dmso_e,0.0
dmso_p,0.0
dnad_c,0.002391283603867093
dopa_e,0.0
dopa_p,0.0
doxrbcn_e,0.0
doxrbcn_p,0.0
dpcoa_c,0.0003023220710779802
dsbaox_p,0.0
dsbard_p,0.0
