Negative metabolite	Positive metabolite	Negative score	Positive score
ap4a_c	icit_c	0.0	0.8835495578639855
ap4a_c	prfp_c	0.0	9.684182213483028e-34
ap4a_c	26dap_DASH_M_c	0.0	0.15311008375471608
ap4a_c	gln_DASH_L_c	0.0	2.0281400735876343
ap4a_c	3dhsk_c	0.0	1.9077897727784718
ap4a_c	oc2coa_c	0.0	0.1320796637804565
ap4a_c	2cpr5p_c	0.0	2.0281400735876343
ap4a_c	4per_c	0.0	7.704431160606786e-05
ap4a_c	dann_c	0.0	1.019240096220861e-06
ap4a_c	flxso_c	0.0	0.002032777135163395
ap4a_c	5aop_c	0.0	0.001324211083421885
ap4a_c	gly_c	0.0	0.47978018209812384
ap4a_c	ohpb_c	0.0	8.276319271369105e-05
ap4a_c	ddcacoa_c	0.0	0.1320796637804565
ap4a_c	dhap_c	0.0	1.4909904139454992
ap4a_c	skm5p_c	0.0	1.9077897727784718
ap4a_c	3hhdcoa_c	0.0	0.10319642292929583
ap4a_c	skm_c	0.0	1.9077897727784718
ap4a_c	pran_c	0.0	2.0281400735876343
ap4a_c	ru5p_DASH_D_c	0.0	1.450096287825045
ap4a_c	3ohdcoa_c	0.0	0.11587001701286856
ap4a_c	mal_DASH_L_c	0.0	0.1763411316198423
ap4a_c	asp_DASH_L_c	0.0	0.60243038285
ap4a_c	4pasp_c	0.0	0.45192634202046245
ap4a_c	alaala_c	0.0	0.012478472705980417
ap4a_c	aicar_c	0.0	0.1997396135962654
ap4a_c	b2coa_c	0.0	0.1320796637804565
ap4a_c	chor_c	0.0	2.0281400735876343
ap4a_c	dc2coa_c	0.0	0.1320796637804565
ap4a_c	3htdcoa_c	0.0	0.11587001701286856
ap4a_c	s7p_c	0.0	0.0598009000361735
ap4a_c	aspsa_c	0.0	0.3690046249643632
ap4a_c	3hhcoa_c	0.0	0.0704910088684825
ap4a_c	aacoa_c	0.0	0.1320796637804565
ap4a_c	methf_c	0.0	0.3577247853009998
ap4a_c	3psme_c	0.0	1.9077897727784718
ap4a_c	10fthf_c	0.0	0.4381215961670568
ap4a_c	3hmrsACP_c	0.0	0.015415005828308103
2aobut_c	fum_c	-0.03361524865221051	0.3297861427415
2aobut_c	2dda7p_c	-0.03361524865221051	1.9077897727784718
2aobut_c	g3p_c	-0.03361524865221051	3.0946381972300365
2aobut_c	ala_DASH_D_c	-0.03361524865221051	0.013621624403394863
2aobut_c	r5p_c	-0.03361524865221051	1.431033765048162
2aobut_c	dd2coa_c	-0.03361524865221051	0.10784259388682635
2aobut_c	xu5p_DASH_D_c	-0.03361524865221051	1.334281113215
2aobut_c	23dhmb_c	-0.03361524865221051	0.3643207264137902
2aobut_c	acon_DASH_C_c	-0.03361524865221051	0.4751204237796443
2aobut_c	flxr_c	-0.03361524865221051	0.04239560683733735
2aobut_c	indole_c	-0.03361524865221051	2.0492365227547156
2aobut_c	hx2coa_c	-0.03361524865221051	0.1320796637804565
2aobut_c	acald_c	-0.03361524865221051	0.14044772466168703
2aobut_c	3hdcoa_c	-0.03361524865221051	0.0704910088684825
2aobut_c	indirubin_c	-0.03361524865221051	2.0492365227547156
2aobut_c	malACP_c	-0.03361524865221051	0.03401606970935608
2aobut_c	3dhq_c	-0.03361524865221051	1.9077897727784718
